predicate_uri,predicate_labels,prompt_template
P138,named after,{subject} is named after {object}.
P6,head of government,The head of government of {subject} is {object}.
P190,twinned administrative body,The twinned administrative body of {subject} is {object}.
P1376,capital of,{subject} is the capital of {object}.
P361,part of,{subject} is part of {object}.
P1589,lowest point,The lowest point of {subject} is {object}.
P1366,replaced by,{subject} was replaced by {object}.
P156,followed by,{subject} is followed by {object}.
P155,follows,{subject} follows {object}.
P61,discoverer or inventor,The discoverer or inventor of {subject} is {object}.
P112,founded by,{subject} was founded by {object}.
P208,executive body,The executive body of {subject} is {object}.
P209,highest judicial authority,The highest judicial authority of {subject} is {object}.
P27,country of citizenship,{subject} is a citizen of {object}.
P1303,instrument,{subject} uses the instrument {object}.
P800,notable work,{subject} is known for the work {object}.
P1066,student of,{subject} is a student of {object}.
P509,cause of death,The cause of death for {subject} was {object}.
P2341,indigenous to,{subject} is indigenous to {object}.
P279,subclass of,{subject} is a subclass of {object}.
P2633,geography of topic,The geography of {subject} is {object}.
P457,foundational text,The foundational text of {subject} is {object}.
P166,award received,{subject} received the award {object}.
P1001,applies to jurisdiction,The jurisdiction applicable to {subject} is {object}.
P527,has part(s),{subject} includes {object} as a part.
P2388,position held by head of the organization,The office held by the head of {subject} is {object}.
P488,chairperson,The chairperson of {subject} is {object}.
P159,headquarters location,The headquarters of {subject} is {object}.
P53,family,{subject} belongs to the family {object}.
P706,located in/on physical feature,{subject} is located in or on the physical feature {object}.
P2238,official symbol,The official symbol of {subject} is {object}.
P418,"has seal, badge, or sigil","{subject} has the seal, badge, or sigil {object}."
P237,coat of arms,The coat of arms of {subject} is {object}.
P710,participant,"In {subject}, {object} participated."
P276,location,The location of {subject} is {object}.
P828,has cause,The cause of {subject} is {object}.
P1542,has effect,The effect of {subject} is {object}.
P1532,country for sport,The country for sport of {subject} is {object}.
P641,sport,The sport associated with {subject} is {object}.
P115,home venue,The home venue of {subject} is {object}.
P118,league or competition,{subject} is associated with the league {object}.
P127,owned by,{subject} is owned by {object}.
P1344,participant in,{subject} participated in {object}.
P286,head coach,The head coach of {subject} is {object}.
P1889,different from,{subject} is different from {object}.
P749,parent organization,The parent organization of {subject} is {object}.
P355,has subsidiary,{subject} has the subsidiary {object}.
P495,country of origin,The country of origin of {subject} is {object}.
P140,religion or worldview,The religion or worldview of {subject} is {object}.
P1383,contains settlement,{subject} contains the settlement {object}.
P172,ethnic group,{subject} belongs to the {object} ethnic group.
P103,native language,The native language of {subject} is {object}.
P25,mother,The mother of {subject} is {object}.
P737,influenced by,{subject} was influenced by {object}.
P807,separated from,{subject} is separated from {object}.
P421,located in time zone,{subject} is located in the time zone {object}.
P460,said to be the same as,{subject} is said to be the same as {object}.
P485,archives at,The archives of {subject} are located at {object}.
P1142,political ideology,The political ideology of {subject} is {object}.
P205,basin country,The basin country of {subject} is {object}.
P1269,facet of,{subject} is a facet of {object}.
P1546,motto,The motto of {subject} is {object}.
P611,religious order,The religious order of {subject} is {object}.
P542,officially opened by,{subject} was officially opened by {object}.
P39,position held,{subject} held the position of {object}.
P102,member of political party,{subject} is a member of the political party {object}.
P26,spouse,{subject} is married to {object}.
P1308,position holder,The officeholder of {subject} is {object}.
P748,appointed by,{subject} was appointed by {object}.
P263,official residence,The official residence of {subject} is {object}.
P451,unmarried partner,"{subject} has an unmarried partner, {object}."
P2959,permanent duplicated item,The permanent duplicated item associated with {subject} is {object}.
P2389,organization directed by the office or position,The organization directed by {subject} is {object}.
P137,operator,The operator of {subject} is {object}.
P607,conflict,{subject} was involved in the {object}.
P945,allegiance,The allegiance of {subject} is {object}.
P466,occupant,The occupant of {subject} is {object}.
P2936,language used,The language used in {subject} is {object}.
P84,architect,The architect of {subject} is {object}.
P461,opposite of,{subject} is the opposite of {object}.
P1830,owner of,{subject} is the owner of {object}.
P169,chief executive officer,The chief executive officer of {subject} is {object}.
P54,member of sports team,{subject} is a member of the sports team {object}.
P740,location of formation,The location of formation for {subject} is {object}.
P162,producer,The producer of {subject} is {object}.
P1037,director / manager,The director/manager of {subject} is {object}.
P264,record label,The record label for {subject} is {object}.
P3828,wears,{subject} wears {object}.
P1027,conferred by,{subject} was conferred by {object}.
P1411,nominated for,{subject} was nominated for {object}.
P241,military branch,{subject} served in the {object}.
P136,genre,The genre of {subject} is {object}.
P184,doctoral advisor,{subject} is the doctoral advisor of {object}.
P1891,signatory,The signatory of {subject} is {object}.
P407,language of work or name,The language of work or the name for {subject} is {object}.
P135,movement,The movement associated with {subject} is {object}.
P1535,used by,{subject} is used by {object}.
P1038,relative,{subject} is a relative of {object}.
P2348,time period,The time period of {subject} is {object}.
P885,origin of the watercourse,The origin of {subject} is {object}.
P1299,depicted by,The depiction of {subject} is by {object}.
P1346,winner,The winner of {subject} is {object}.
P797,authority,The authority for {subject} is {object}.
P3179,territory overlaps,The territory of {subject} overlaps with {object}.
P3320,board member,One of the board members of {subject} is {object}.
P669,located on street,The street on which {subject} is located is {object}.
P1268,represents,{subject} represents {object}.
P149,architectural style,The architectural style of {subject} is {object}.
P1343,described by source,{subject} is described by {object}.
P449,original broadcaster,The original broadcaster of {subject} is {object}.
P170,creator,{subject} was created by {object}.
P1431,executive producer,The executive producer of {subject} is {object}.
P272,production company,The production company for {subject} is {object}.
P86,composer,The composer of {subject} is {object}.
P915,filming location,The filming location of {subject} is {object}.
P57,director,The director of {subject} is {object}.
P921,main subject,The main subject of {subject} is {object}.
P161,cast member,"In {subject}, {object} is a cast member."
P98,editor,The editor of {subject} is {object}.
P3448,stepparent,{subject} is the stepparent of {object}.
P512,academic degree,{subject} holds an academic degree of {object}.
P50,author,{subject} was authored by {object}.
P291,place of publication,The place of publication of {subject} is {object}.
P676,lyricist,The lyrics of {subject} were written by {object}.
P144,based on,{subject} is based on {object}.
P735,given name,The given name of {subject} is {object}.
P1435,heritage designation,The heritage designation of {subject} is {object}.
P1050,medical condition,{subject} has the medical condition {object}.
P553,website account on,{subject} has a website account on {object}.
P500,exclave of,{subject} is an exclave of {object}.
P123,publisher,The publisher of {subject} is {object}.
P452,industry,The industry associated with {subject} is {object}.
P2670,has part(s) of the class,{subject} has parts that are instances of the class {object}.
P533,target,The target of {subject} is {object}.
P2541,operating area,The operating area of {subject} is {object}.
P58,screenwriter,The screenwriter of {subject} is {object}.
P1408,licensed to broadcast to,{subject} is licensed to broadcast to {object}.
P2925,domain of saint or deity,The domain of {subject} is {object}.
P3438,vehicle normally used,The vehicle normally used by {subject} is {object}.
P931,place served by transport hub,The transport hub {subject} serves {object}.
P126,maintained by,{subject} is maintained by {object}.
P1441,present in work,{subject} is present in the work {object}.
P1074,fictional or mythical analog of,The fictional or mythical analog of {subject} is {object}.
P176,manufacturer,The manufacturer of {subject} is {object}.
P287,designed by,{subject} was designed by {object}.
P88,commissioned by,{subject} was commissioned by {object}.
P1455,list of works,The list of works for {subject} is {object}.
P193,main building contractor,The main building contractor for {subject} is {object}.
P185,doctoral student,{subject} is the doctoral student of {object}.
P664,organizer,The organizer of {subject} is {object}.
P674,characters,One of the characters in {subject} is {object}.
P840,narrative location,The narrative location of {subject} is {object}.
P66,ancestral home,The ancestral home of {subject} is {object}.
P413,position played on team / speciality,The position or specialty of {subject} is {object}.
P1399,convicted of,{subject} was convicted of {object}.
P189,location of discovery,The location of discovery for {subject} is {object}.
P180,depicts,{subject} depicts {object}.
P1071,location of creation,The location of creation of {subject} is {object}.
P2632,place of detention,{subject} was detained at {object}.
P175,performer,The performer of {subject} is {object}.
P941,inspired by,{subject} was inspired by {object}.
P483,recorded at studio or venue,{subject} was recorded at the studio or venue {object}.
P547,commemorates,{subject} commemorates {object}.
P2974,habitat,The habitat of {subject} is {object}.
P1427,start point,The start point of {subject} is {object}.
P467,legislated by,{subject} was legislated by {object}.
P3842,located in the present-day administrative territorial entity,The present-day administrative territorial entity in which {subject} is located is {object}.
P3022,flag bearer,The flag bearer for {subject} is {object}.
P21,sex or gender,The sex or gender of {subject} is {object}.
P608,exhibition history,The exhibition history of {subject} is {object}.
P859,sponsor,{subject} was sponsored by {object}.
P1552,has characteristic,{subject} has the quality {object}.
P1028,donated by,{subject} was donated by {object}.
P825,dedicated to,{subject} is dedicated to {object}.
P725,voice actor,The voice actor for {subject} is {object}.
P1290,godparent,{subject} is the godparent of {object}.
P65,site of astronomical discovery,The site of astronomical discovery for {subject} is {object}.
P1283,filmography,The filmography of {subject} is {object}.
P991,successful candidate,The successful candidate in {subject} is {object}.
P726,candidate,"In {subject}, {object} was a candidate."
P371,presenter,The presenter of {subject} is {object}.
P2438,narrator,The narrator of {subject} is {object}.
P366,has use,The use of {subject} is {object}.
P559,terminus,The terminus of {subject} is {object}.
P1875,represented by,The representative for {subject} is {object}.
P1877,after a work by,{subject} is based on a work by {object}.
P2554,production designer,The production designer for {subject} is {object}.
P344,director of photography,The director of photography for {subject} is {object}.
P1040,film editor,The film editor of {subject} is {object}.
P1433,published in,{subject} was published in {object}.
P1444,destination point,The destination point of {subject} is {object}.
P598,commander of,{subject} was the commander of {object}.
P177,crosses,{subject} crosses {object}.
P3342,significant person,{subject} is a significant person related to {object}.
P2650,interested in,{subject} is interested in {object}.
P410,military or police rank,{subject} holds the military rank of {object}.
P195,collection,{subject} is part of the collection {object}.
P3403,coextensive with,{subject} is coextensive with {object}.
P1416,affiliation,{subject} is affiliated with {object}.
P734,family name,The family name of {subject} is {object}.
